Variant,MTOM,Actual Volume (ft3),Actual Volume (m3)
17,160,17.6,498
20,181,20,566
21,191,21,595
24,218,24,680
25,227,25,708
31,285,31.45,891
34,308,34,963
35,317,35,991
42,381,42,1189
50,453,50,1416
56,508,56,1586
60,544,60,1699
65,590,65,1841
69,626,69,1954
70,635,70,1982
77,703,77.5,2195
77T,698,77,2181
80,726,80,2266
84,762,84,2379
90,816,90,2549
100,907,100,2832
105,952,105,2974
120,1088,120,3398
133,1206,133,3767
140,1270,140,3965
145,1315,145,4106
150,1361,150,4248
160,1451,160,4531
180,1633,180,5098
200,1814,200,5664
210,1905,210,5947
225,2041,225,6372
240,2177,240,6797
250,2268,250,7080
260,2358,260,7363
275,2494,275,7788
300,2721,300,8496
315,2857,315,8921
340,2857,340,9629
340HL,3084,340,9629
350,3175,350,9912
375,3401,375,10620
400,3628,400,11328
415,3764,415,11753
425LW,3662,425,12036
450LW,3815,450,12744
450,4082,450,12744
475,4082,475,13452
500,4082,500,14160
530LW,4500,530,15010
530,4807,530,15010
600,5089,600,16992
650,5089,650,18408
700,5089,700,19824
750,5089,750,21240
